name,kSAT,vars,solution,runtime
dpll,2,4,U,0.0014328956604003906
dpll,2,4,S,0.0020318031311035156
dpll,2,4,U,0.002296924591064453
dpll,2,4,S,0.0014431476593017578
dpll,2,4,S,0.0025413036346435547
dpll,2,4,S,0.0017926692962646484
dpll,2,4,S,0.0012958049774169922
dpll,2,4,U,0.0018413066864013672
dpll,2,4,U,0.0014886856079101562
dpll,2,4,U,0.0019376277923583984
dpll,2,8,U,0.003991842269897461
dpll,2,8,U,0.003979206085205078
dpll,2,7,S,0.002341032028198242
dpll,2,8,S,0.004014253616333008
dpll,2,8,U,0.00470423698425293
dpll,2,8,U,0.002285480499267578
dpll,2,8,S,0.0027844905853271484
dpll,2,8,U,0.0021708011627197266
dpll,2,8,S,0.0027298927307128906
dpll,2,8,S,0.003966569900512695
dpll,2,12,S,0.005530118942260742
dpll,2,12,S,0.005568265914916992
dpll,2,12,U,0.006749391555786133
dpll,2,12,U,0.007582664489746094
dpll,2,12,S,0.00532841682434082
dpll,2,11,U,0.007913351058959961
dpll,2,12,U,0.004432201385498047
dpll,2,12,S,0.007127046585083008
dpll,2,12,U,0.0054547786712646484
dpll,2,12,S,0.007352352142333984
dpll,2,16,S,0.010718345642089844
dpll,2,16,U,0.016590356826782227
dpll,2,16,S,0.010757207870483398
dpll,2,16,S,0.009946346282958984
dpll,2,14,U,0.010959148406982422
dpll,2,16,S,0.011358976364135742
dpll,2,15,U,0.006669521331787109
dpll,2,16,U,0.015852928161621094
dpll,2,16,S,0.012550115585327148
dpll,2,15,U,0.015146017074584961
dpll,2,18,U,0.014693498611450195
dpll,2,16,U,0.011744022369384766
dpll,2,17,U,0.00814199447631836
dpll,2,18,U,0.009365320205688477
dpll,2,18,U,0.011522531509399414
dpll,2,18,U,0.0122222900390625
dpll,2,18,U,0.012228012084960938
dpll,2,18,S,0.013600587844848633
dpll,2,17,U,0.012398481369018555
dpll,2,18,S,0.015214681625366211
dpll,2,19,U,0.030258893966674805
dpll,2,20,U,0.020539045333862305
dpll,2,20,S,0.015533208847045898
dpll,2,19,U,0.01861882209777832
dpll,2,20,U,0.015587091445922852
dpll,2,18,U,0.033037424087524414
dpll,2,20,U,0.039808034896850586
dpll,2,19,S,0.012315034866333008
dpll,2,20,U,0.01436161994934082
dpll,2,20,S,0.014690637588500977
dpll,2,22,S,0.023383378982543945
dpll,2,22,U,0.02535843849182129
dpll,2,21,U,0.020467042922973633
dpll,2,20,U,0.01477503776550293
dpll,2,21,U,0.019089221954345703
dpll,2,21,U,0.024876117706298828
dpll,2,22,U,0.017842531204223633
dpll,2,22,U,0.04007244110107422
dpll,2,22,U,0.0185701847076416
dpll,2,21,U,0.0046844482421875
dpll,2,24,S,0.03158283233642578
dpll,2,24,U,0.02746891975402832
dpll,2,23,U,0.014851093292236328
dpll,2,24,S,0.02464008331298828
dpll,2,23,U,0.02308034896850586
dpll,2,24,U,0.06365442276000977
dpll,2,23,U,0.008282899856567383
dpll,2,24,U,0.008771657943725586
dpll,2,23,U,0.016955852508544922
dpll,2,23,S,0.018756389617919922
dpll,3,4,U,0.005091190338134766
dpll,3,4,S,0.005388021469116211
dpll,3,4,S,0.002985239028930664
dpll,3,4,S,0.005058765411376953
dpll,3,4,U,0.00498199462890625
dpll,3,4,S,0.0030972957611083984
dpll,3,4,U,0.0064542293548583984
dpll,3,4,U,0.006818056106567383
dpll,3,4,U,0.005237102508544922
dpll,3,4,S,0.005854368209838867
dpll,3,8,S,0.016765117645263672
dpll,3,8,S,0.009602069854736328
dpll,3,8,S,0.009303092956542969
dpll,3,8,U,0.02232193946838379
dpll,3,8,U,0.03578352928161621
dpll,3,8,U,0.0312952995300293
dpll,3,8,U,0.025840044021606445
dpll,3,8,U,0.013489007949829102
dpll,3,8,U,0.020679950714111328
dpll,3,8,U,0.03045797348022461
dpll,3,12,U,0.05655956268310547
dpll,3,12,S,0.020622730255126953
dpll,3,12,U,0.05301260948181152
dpll,3,12,S,0.019665002822875977
dpll,3,12,U,0.06006455421447754
dpll,3,12,U,0.07859110832214355
dpll,3,12,U,0.10218286514282227
dpll,3,12,U,0.07030987739562988
dpll,3,12,S,0.019047260284423828
dpll,3,12,U,0.0560152530670166
dpll,3,16,U,0.23478317260742188
dpll,3,16,S,0.10103702545166016
dpll,3,16,U,0.18596315383911133
dpll,3,16,U,0.30811095237731934
dpll,3,16,U,0.14553141593933105
dpll,3,16,U,0.17074275016784668
dpll,3,16,U,0.2441716194152832
dpll,3,16,U,0.17559242248535156
dpll,3,16,U,0.17756080627441406
dpll,3,16,S,0.0699770450592041
dpll,3,18,U,0.12620186805725098
dpll,3,18,U,0.46751856803894043
dpll,3,18,U,0.1719064712524414
dpll,3,18,U,0.20143413543701172
dpll,3,18,U,0.20040655136108398
dpll,3,18,S,0.15623140335083008
dpll,3,18,S,0.04088020324707031
dpll,3,18,S,0.13179826736450195
dpll,3,18,U,0.2930483818054199
dpll,3,18,S,0.42848992347717285
dpll,3,20,S,0.28710341453552246
dpll,3,20,U,0.2644035816192627
dpll,3,20,S,0.08672761917114258
dpll,3,20,U,0.23857760429382324
dpll,3,20,S,0.16032791137695312
dpll,3,20,U,0.3816869258880615
dpll,3,20,U,0.4170503616333008
dpll,3,20,S,0.14196109771728516
dpll,3,20,U,0.21294784545898438
dpll,3,20,U,0.47411012649536133
dpll,3,22,S,0.49826622009277344
dpll,3,22,S,0.10657906532287598
dpll,3,22,U,0.351090669631958
dpll,3,22,U,0.26293087005615234
dpll,3,22,U,0.4393613338470459
dpll,3,22,U,0.23739147186279297
dpll,3,22,U,0.4917867183685303
dpll,3,22,U,0.6277444362640381
dpll,3,22,S,0.20980048179626465
dpll,3,22,S,0.42771291732788086
dpll,3,24,U,0.3042609691619873
dpll,3,24,U,0.6849002838134766
dpll,3,24,U,0.6177117824554443
dpll,3,24,U,0.2701842784881592
dpll,3,24,U,0.34101104736328125
dpll,3,24,U,0.8059573173522949
dpll,3,24,U,0.8632297515869141
dpll,3,24,U,0.503981351852417
dpll,3,24,U,0.473339319229126
dpll,3,24,U,0.48389768600463867
dpll,4,4,S,0.01673436164855957
dpll,4,4,U,0.015608072280883789
dpll,4,4,U,0.015370368957519531
dpll,4,4,S,0.006947994232177734
dpll,4,4,S,0.019645214080810547
dpll,4,4,S,0.007382631301879883
dpll,4,4,S,0.011312246322631836
dpll,4,4,S,0.020819425582885742
dpll,4,4,S,0.016581058502197266
dpll,4,4,S,0.007390737533569336
dpll,4,8,S,0.07523393630981445
dpll,4,8,S,0.07358026504516602
dpll,4,8,S,0.02259063720703125
dpll,4,8,S,0.09858918190002441
dpll,4,8,S,0.026409626007080078
dpll,4,8,U,0.13164210319519043
dpll,4,8,U,0.13038063049316406
dpll,4,8,S,0.10435080528259277
dpll,4,8,U,0.13247418403625488
dpll,4,8,U,0.13225436210632324
dpll,4,12,S,0.09238505363464355
dpll,4,12,S,0.35358190536499023
dpll,4,12,S,0.17339062690734863
dpll,4,12,U,0.7269821166992188
dpll,4,12,S,0.3545191287994385
dpll,4,12,S,0.19243264198303223
dpll,4,12,U,0.6685774326324463
dpll,4,12,U,0.4544236660003662
dpll,4,12,U,0.555382251739502
dpll,4,12,U,0.4171719551086426
dpll,4,16,S,0.1726372241973877
dpll,4,16,U,1.8454256057739258
dpll,4,16,U,1.3922734260559082
dpll,4,16,S,0.18300390243530273
dpll,4,16,S,0.545670747756958
dpll,4,16,U,1.3212134838104248
dpll,4,16,U,1.1802525520324707
dpll,4,16,U,1.9643921852111816
dpll,4,16,S,0.6479623317718506
dpll,4,16,S,0.19878125190734863
dpll,4,18,S,1.5692238807678223
dpll,4,18,U,1.808333396911621
dpll,4,18,S,0.46347928047180176
dpll,4,18,U,3.6691412925720215
dpll,4,18,U,2.5099685192108154
dpll,4,18,S,2.3038132190704346
dpll,4,18,U,3.467740058898926
dpll,4,18,S,0.276411771774292
dpll,4,18,U,1.727856159210205
dpll,4,18,U,2.6667160987854004
dpll,4,20,S,5.871948719024658
dpll,4,20,U,6.089715242385864
dpll,4,20,S,0.17413568496704102
dpll,4,20,S,1.3383471965789795
dpll,4,20,U,3.257838249206543
dpll,4,20,U,4.034660577774048
dpll,4,20,S,2.1160645484924316
dpll,4,20,U,5.648630857467651
dpll,4,20,S,3.0240721702575684
dpll,4,20,U,3.0706827640533447
dpll,4,22,U,5.4016852378845215
dpll,4,22,U,5.962316513061523
dpll,4,22,S,1.0841410160064697
dpll,4,22,U,10.389505624771118
dpll,4,22,S,2.294473171234131
dpll,4,22,U,7.527739763259888
dpll,4,22,S,1.4277660846710205
