name,kSAT,vars,solution,runtime
DumbSAT,2,4,S,0.0001933574676513672
DumbSAT,2,4,U,7.104873657226562e-05
DumbSAT,2,4,S,4.982948303222656e-05
DumbSAT,2,4,S,5.7220458984375e-05
DumbSAT,2,4,U,5.793571472167969e-05
DumbSAT,2,4,U,5.650520324707031e-05
DumbSAT,2,4,U,7.05718994140625e-05
DumbSAT,2,4,S,4.029273986816406e-05
DumbSAT,2,4,S,5.0067901611328125e-05
DumbSAT,2,4,S,4.172325134277344e-05
DumbSAT,2,8,S,0.00032067298889160156
DumbSAT,2,8,S,0.00019598007202148438
DumbSAT,2,8,S,0.0005125999450683594
DumbSAT,2,8,U,0.0004992485046386719
DumbSAT,2,8,U,0.0005853176116943359
DumbSAT,2,7,U,0.00024008750915527344
DumbSAT,2,8,U,0.0007221698760986328
DumbSAT,2,8,S,0.0002727508544921875
DumbSAT,2,8,S,6.270408630371094e-05
DumbSAT,2,8,U,0.00047659873962402344
DumbSAT,2,12,U,0.007833480834960938
DumbSAT,2,12,S,0.0032444000244140625
DumbSAT,2,11,U,0.0037293434143066406
DumbSAT,2,12,S,0.00018024444580078125
DumbSAT,2,12,S,0.005761623382568359
DumbSAT,2,12,S,0.008176565170288086
DumbSAT,2,12,U,0.008574247360229492
DumbSAT,2,12,U,0.007756948471069336
DumbSAT,2,12,U,0.007756710052490234
DumbSAT,2,12,U,0.00881052017211914
DumbSAT,2,16,S,0.09037232398986816
DumbSAT,2,16,U,0.11537694931030273
DumbSAT,2,16,S,0.011710882186889648
DumbSAT,2,16,S,0.00399470329284668
DumbSAT,2,16,U,0.12841105461120605
DumbSAT,2,16,S,0.043135643005371094
DumbSAT,2,16,U,0.14183521270751953
DumbSAT,2,16,S,0.019816875457763672
DumbSAT,2,15,U,0.07581353187561035
DumbSAT,2,15,U,0.06980156898498535
DumbSAT,2,16,U,0.14709687232971191
DumbSAT,2,18,U,0.6404423713684082
DumbSAT,2,18,U,0.5046520233154297
DumbSAT,2,18,S,0.2671387195587158
DumbSAT,2,18,U,0.5731639862060547
DumbSAT,2,18,S,0.08559584617614746
DumbSAT,2,18,S,0.0005023479461669922
DumbSAT,2,18,U,0.5024573802947998
DumbSAT,2,18,S,0.0036585330963134766
DumbSAT,2,16,U,0.13639235496520996
DumbSAT,2,17,U,0.2582423686981201
DumbSAT,2,19,S,0.07797694206237793
DumbSAT,2,19,U,1.0294287204742432
DumbSAT,2,20,S,1.8537964820861816
DumbSAT,2,18,U,0.6017458438873291
DumbSAT,2,20,U,1.652533769607544
DumbSAT,2,19,U,1.1721057891845703
DumbSAT,2,19,S,0.22410368919372559
DumbSAT,2,20,U,2.159029960632324
DumbSAT,2,19,U,1.2995383739471436
DumbSAT,2,22,S,0.019844532012939453
DumbSAT,2,22,S,4.97293758392334
DumbSAT,2,22,U,7.984550714492798
DumbSAT,2,22,S,4.833446502685547
DumbSAT,2,22,S,5.2130796909332275
DumbSAT,2,21,S,1.0901267528533936
DumbSAT,2,22,U,9.046884536743164
DumbSAT,2,22,U,7.928530216217041
DumbSAT,2,22,S,3.72239089012146
DumbSAT,2,21,U,4.32170844078064
DumbSAT,2,21,U,3.9193201065063477
DumbSAT,2,23,S,0.05434417724609375
DumbSAT,2,24,S,3.2307562828063965
DumbSAT,2,24,U,33.76239633560181
DumbSAT,2,24,U,32.57484149932861
DumbSAT,2,23,U,15.387992858886719
DumbSAT,2,23,S,0.011140108108520508
DumbSAT,2,24,U,32.92228603363037
DumbSAT,2,23,U,13.541103601455688
DumbSAT,2,22,U,7.553455352783203
DumbSAT,2,25,U,28.99937152862549
DumbSAT,2,26,S,4.484547853469849
DumbSAT,2,26,U,123.10238242149353
DumbSAT,2,25,U,65.01315402984619
DumbSAT,2,24,U,31.14898180961609
DumbSAT,2,24,U,31.035194873809814
DumbSAT,2,25,S,3.900028944015503
DumbSAT,2,24,U,34.095696687698364
DumbSAT,2,25,U,75.28587126731873
DumbSAT,2,24,U,36.57199811935425
