name,kSAT,vars,solution,runtime
MyDumbSAT,2,4,U,0.00011610984802246094
MyDumbSAT,2,4,S,8.96453857421875e-05
MyDumbSAT,2,4,U,8.869171142578125e-05
MyDumbSAT,2,4,S,7.343292236328125e-05
MyDumbSAT,2,4,S,6.365776062011719e-05
MyDumbSAT,2,4,S,8.7738037109375e-05
MyDumbSAT,2,4,S,5.507469177246094e-05
MyDumbSAT,2,4,U,8.034706115722656e-05
MyDumbSAT,2,4,U,7.963180541992188e-05
MyDumbSAT,2,4,U,7.653236389160156e-05
MyDumbSAT,2,8,U,0.000782012939453125
MyDumbSAT,2,8,U,0.0006775856018066406
MyDumbSAT,2,7,S,0.0003745555877685547
MyDumbSAT,2,8,S,0.0002968311309814453
MyDumbSAT,2,8,U,0.0007827281951904297
MyDumbSAT,2,8,U,0.0006146430969238281
MyDumbSAT,2,8,S,0.00039839744567871094
MyDumbSAT,2,8,U,0.0006625652313232422
MyDumbSAT,2,8,S,0.0002651214599609375
MyDumbSAT,2,8,S,0.0004372596740722656
MyDumbSAT,2,12,S,0.00119781494140625
MyDumbSAT,2,12,S,0.00023698806762695312
MyDumbSAT,2,12,U,0.008651018142700195
MyDumbSAT,2,12,U,0.00813913345336914
MyDumbSAT,2,12,S,0.0005791187286376953
MyDumbSAT,2,11,U,0.009692907333374023
MyDumbSAT,2,12,U,0.008093833923339844
MyDumbSAT,2,12,S,0.008446693420410156
MyDumbSAT,2,12,U,0.009807109832763672
MyDumbSAT,2,12,S,0.002727985382080078
MyDumbSAT,2,16,S,0.006352424621582031
MyDumbSAT,2,16,U,0.15102791786193848
MyDumbSAT,2,16,S,0.048331260681152344
MyDumbSAT,2,16,S,0.04984688758850098
MyDumbSAT,2,14,U,0.05924034118652344
MyDumbSAT,2,16,S,0.041812896728515625
MyDumbSAT,2,15,U,0.13393735885620117
MyDumbSAT,2,16,U,0.18456625938415527
MyDumbSAT,2,16,S,0.09681916236877441
MyDumbSAT,2,15,U,0.16292357444763184
MyDumbSAT,2,18,U,0.5997638702392578
MyDumbSAT,2,16,U,0.7021517753601074
MyDumbSAT,2,17,U,0.5932085514068604
MyDumbSAT,2,18,U,0.5489187240600586
MyDumbSAT,2,18,U,0.546968936920166
MyDumbSAT,2,18,U,0.646108865737915
MyDumbSAT,2,18,U,0.6090168952941895
MyDumbSAT,2,18,S,0.6169304847717285
MyDumbSAT,2,17,U,0.61061692237854
MyDumbSAT,2,18,S,0.11823201179504395
MyDumbSAT,2,19,U,2.4168243408203125
MyDumbSAT,2,20,U,2.099749803543091
MyDumbSAT,2,20,S,0.40071725845336914
MyDumbSAT,2,19,U,2.644221782684326
MyDumbSAT,2,20,U,2.5836527347564697
MyDumbSAT,2,18,U,2.66385555267334
MyDumbSAT,2,20,U,2.5103936195373535
MyDumbSAT,2,19,S,1.990830898284912
MyDumbSAT,2,20,U,2.4126484394073486
MyDumbSAT,2,20,S,0.09805798530578613
MyDumbSAT,2,22,S,8.568194150924683
MyDumbSAT,2,22,U,9.26619291305542
MyDumbSAT,2,21,U,9.901138067245483
MyDumbSAT,2,20,U,8.210468053817749
MyDumbSAT,2,21,U,11.732102632522583
MyDumbSAT,2,21,U,10.782931566238403
MyDumbSAT,2,22,U,14.448026418685913
MyDumbSAT,2,22,U,12.596669673919678
MyDumbSAT,2,22,U,12.653204202651978
MyDumbSAT,2,21,U,11.561536073684692
MyDumbSAT,2,24,S,11.00010633468628
MyDumbSAT,2,24,U,53.9989697933197
MyDumbSAT,2,23,U,24.49613857269287
MyDumbSAT,2,24,S,21.48848557472229
MyDumbSAT,2,23,U,63.84594655036926
MyDumbSAT,2,24,U,47.6122510433197
